Front,Rear,Linear_vel,X_position,Y_position,Time_Secs,Time_Nanoseconds
0.0,0.0,0.75,0.0,0.0,0,0
2.0300304015563597e-07,2.0300304015563597e-07,0.75,0.0,-1.661166848521134e-08,0,374444454
2.0300304015563597e-07,2.0300304015563597e-07,0.75,0.0,-1.661166848521134e-08,0,374444454
2.0300304015563597e-07,2.0300304015563597e-07,0.75,0.0,-1.661166848521134e-08,0,374444454
-6.351860406539345e-07,-6.351860406539345e-07,0.75,0.0,-6.957089571102415e-09,0,383333343
-6.351860406539345e-07,-6.351860406539345e-07,0.75,0.0,-6.957089571102415e-09,0,383333343
-6.351860406539345e-07,-6.351860406539345e-07,0.75,0.0,-6.957089571102415e-09,0,383333343
6.482826506726269e-07,6.482826506726269e-07,0.75,0.0,-1.5813460763069997e-08,0,391111121
6.482826506726269e-07,6.482826506726269e-07,0.75,0.0,-1.5813460763069997e-08,0,391111121
6.482826506726269e-07,6.482826506726269e-07,0.75,0.0,-1.5813460763069997e-08,0,391111121
-6.221060857569682e-07,-6.221060857569682e-07,0.75,0.0,-6.157178322752088e-09,0,400000010
-6.221060857569682e-07,-6.221060857569682e-07,0.75,0.0,-6.157178322752088e-09,0,400000010
-6.221060857569682e-07,-6.221060857569682e-07,0.75,0.0,-6.157178322752088e-09,0,400000010
6.548485202984011e-07,6.548485202984011e-07,0.75,0.0,-1.5287799470797836e-08,0,407777788
6.548485202984011e-07,6.548485202984011e-07,0.75,0.0,-1.5287799470797836e-08,0,407777788
6.548485202984011e-07,6.548485202984011e-07,0.75,0.0,-1.5287799470797836e-08,0,407777788
-6.548309450238321e-09,-6.548309450238321e-09,0.75,0.0,-5.9062630342054945e-09,0,416666677
-6.548309450238321e-09,-6.548309450238321e-09,0.75,0.0,-5.9062630342054945e-09,0,416666677
7.988937795744278e-07,7.988937795744278e-07,0.75,0.0,-1.4763121392036282e-08,0,424444455
7.988937795744278e-07,7.988937795744278e-07,0.75,0.0,-1.4763121392036282e-08,0,424444455
7.988937795744278e-07,7.988937795744278e-07,0.75,0.0,-1.4763121392036282e-08,0,424444455
-1.3751450467225368e-07,-1.3751450467225368e-07,0.75,0.0,-5.3818913769987375e-09,0,433333344
-1.3751450467225368e-07,-1.3751450467225368e-07,0.75,0.0,-5.3818913769987375e-09,0,433333344
-1.3751450467225368e-07,-1.3751450467225368e-07,0.75,0.0,-1.3963824763152388e-08,0,441111122
7.79269726081111e-07,7.79269726081111e-07,0.75,0.0,-1.3963824763152388e-08,0,441111122
7.79269726081111e-07,7.79269726081111e-07,0.75,0.0,-1.3963824763152388e-08,0,441111122
3.2741546363013185e-08,3.2741546363013185e-08,0.75,0.0,-4.307084910948333e-09,0,450000011
3.2741546363013185e-08,3.2741546363013185e-08,0.75,0.0,-4.307084910948333e-09,0,450000011
3.2741546363013185e-08,3.2741546363013185e-08,0.75,0.0,-4.307084910948333e-09,0,450000011
1.2834686913265614e-06,1.2834686913265614e-06,0.75,0.0,-1.316527775685472e-08,0,457777789
1.2834686913265614e-06,1.2834686913265614e-06,0.75,0.0,-1.316527775685472e-08,0,457777789
1.2834686913265614e-06,1.2834686913265614e-06,0.75,0.0,-1.316527775685472e-08,0,457777789
1.5061111469094612e-07,1.5061111469094612e-07,0.75,0.0,-3.5108140838957524e-09,0,466666678
1.5061111469094612e-07,1.5061111469094612e-07,0.75,0.0,-3.5108140838957524e-09,0,466666678
1.5061111469094612e-07,1.5061111469094612e-07,0.75,0.0,-3.5108140838957524e-09,0,466666678
6.482826506726269e-07,6.482826506726269e-07,0.75,0.0,-1.2915610803077016e-08,0,474444456
6.482826506726269e-07,6.482826506726269e-07,0.75,0.0,-1.2915610803077016e-08,0,474444456
6.482826506726269e-07,6.482826506726269e-07,0.75,0.0,-1.2915610803077016e-08,0,474444456
-2.0954590240762627e-07,-2.0954590240762627e-07,0.75,0.0,-3.2618430179098823e-09,0,483333345
-2.0954590240762627e-07,-2.0954590240762627e-07,0.75,0.0,-3.2618430179098823e-09,0,483333345
-2.0954590240762627e-07,-2.0954590240762627e-07,0.75,0.0,-3.2618430179098823e-09,0,483333345
-1.0411812354504946e-06,-1.0411812354504946e-06,0.75,0.0,-1.184391607012003e-08,0,491111123
-1.0411812354504946e-06,-1.0411812354504946e-06,0.75,0.0,-1.184391607012003e-08,0,491111123
-1.0411812354504946e-06,-1.0411812354504946e-06,0.75,0.0,-1.184391607012003e-08,0,491111123
7.596038926749316e-07,7.596038926749316e-07,0.75,0.0,-1.7039491595483014e-08,0,500000012
7.596038926749316e-07,7.596038926749316e-07,0.75,0.0,-1.7039491595483014e-08,0,500000012
-8.316576440847712e-07,-8.316576440847712e-07,0.75,0.0,-1.1319801096476567e-08,0,507777790
-8.316576440847712e-07,-8.316576440847712e-07,0.75,0.0,-1.1319801096476567e-08,0,507777790
-8.316576440847712e-07,-8.316576440847712e-07,0.75,0.0,-1.1319801096476567e-08,0,507777790
8.120121606225439e-07,8.120121606225439e-07,0.75,0.0,-1.6241568090435976e-08,0,516666679
8.120121606225439e-07,8.120121606225439e-07,0.75,0.0,-1.6241568090435976e-08,0,516666679
8.120121606225439e-07,8.120121606225439e-07,0.75,0.0,-1.6241568090435976e-08,0,516666679
-3.7324363688640005e-07,-3.7324363688640005e-07,0.75,0.0,-1.079403766368614e-08,0,524444457
